FREQ,REF_AREA,MEASURE,ACTIVITY,STRI_TYPE,OBS_VALUE,TIME_PERIOD
A,KEN,CLAS1_9,_Z,DIGITAL,0,2014
A,KEN,STRI,_Z,DIGITAL,.1657333970069885,2014
A,KHM,CLAS1_10,_Z,DIGITAL,.0439087674021721,2014
A,KHM,CLAS1_6,_Z,DIGITAL,.23804971575737,2014
A,KHM,CLAS1_7,_Z,DIGITAL,.1061868388205767,2014
A,KHM,CLAS1_8,_Z,DIGITAL,.0552103277295828,2014
A,KHM,CLAS1_9,_Z,DIGITAL,0,2014
A,KHM,STRI,_Z,DIGITAL,.4433556497097015,2014
A,KOR,CLAS1_10,_Z,DIGITAL,0,2014
A,KOR,CLAS1_6,_Z,DIGITAL,.1586998105049133,2014
A,KOR,CLAS1_7,_Z,DIGITAL,.0212373677641153,2014
A,KOR,CLAS1_8,_Z,DIGITAL,.0184034425765276,2014
A,KOR,CLAS1_9,_Z,DIGITAL,0,2014
A,KOR,STRI,_Z,DIGITAL,.1983406245708466,2014
A,LAO,CLAS1_10,_Z,DIGITAL,.021954383701086,2014
A,LAO,CLAS1_6,_Z,DIGITAL,.4364244788885117,2014
A,LAO,CLAS1_7,_Z,DIGITAL,.0424747355282307,2014
A,LAO,CLAS1_8,_Z,DIGITAL,.0184034425765276,2014
A,LAO,CLAS1_9,_Z,DIGITAL,.0432941801846027,2014
A,LAO,STRI,_Z,DIGITAL,.5625512003898621,2014
A,LSO,CLAS1_10,_Z,DIGITAL,.0658631511032581,2014
A,LSO,CLAS1_6,_Z,DIGITAL,0,2014
A,LSO,CLAS1_7,_Z,DIGITAL,.0849494710564613,2014
A,LSO,CLAS1_8,_Z,DIGITAL,.0184034425765276,2014
A,LSO,CLAS1_9,_Z,DIGITAL,.0216470900923014,2014
A,LSO,STRI,_Z,DIGITAL,.1908631473779678,2014
A,LTU,CLAS1_10,_Z,DIGITAL,0,2014
A,LTU,CLAS1_6,_Z,DIGITAL,0,2014
A,LTU,CLAS1_7,_Z,DIGITAL,.0424747355282307,2014
A,LTU,CLAS1_8,_Z,DIGITAL,0,2014
A,LTU,CLAS1_9,_Z,DIGITAL,0,2014
A,LTU,STRI,_Z,DIGITAL,.0424747355282307,2014
A,LUX,CLAS1_10,_Z,DIGITAL,0,2014
A,LUX,CLAS1_6,_Z,DIGITAL,0,2014
A,LUX,CLAS1_7,_Z,DIGITAL,.0212373677641153,2014
A,LUX,CLAS1_8,_Z,DIGITAL,0,2014
A,LUX,CLAS1_9,_Z,DIGITAL,0,2014
A,LUX,STRI,_Z,DIGITAL,.0212373677641153,2014
A,LVA,CLAS1_10,_Z,DIGITAL,0,2014
A,LVA,CLAS1_6,_Z,DIGITAL,0,2014
A,LVA,CLAS1_7,_Z,DIGITAL,.0424747355282307,2014
A,LVA,CLAS1_8,_Z,DIGITAL,0,2014
A,LVA,CLAS1_9,_Z,DIGITAL,0,2014
A,LVA,STRI,_Z,DIGITAL,.0424747355282307,2014
A,MDG,CLAS1_10,_Z,DIGITAL,0,2014
A,MDG,CLAS1_6,_Z,DIGITAL,.1983747631311417,2014
A,MDG,CLAS1_7,_Z,DIGITAL,.063712103292346,2014
A,MDG,CLAS1_8,_Z,DIGITAL,.0368068851530552,2014
A,MDG,CLAS1_9,_Z,DIGITAL,0,2014
A,MDG,STRI,_Z,DIGITAL,.2988937497138977,2014
A,MEX,CLAS1_10,_Z,DIGITAL,0,2014
A,MEX,CLAS1_6,_Z,DIGITAL,.23804971575737,2014
A,MEX,CLAS1_7,_Z,DIGITAL,.0212373677641153,2014
A,MEX,CLAS1_8,_Z,DIGITAL,.0184034425765276,2014
A,MEX,CLAS1_9,_Z,DIGITAL,0,2014
A,MEX,STRI,_Z,DIGITAL,.2776905298233032,2014
A,MKD,CLAS1_10,_Z,DIGITAL,.021954383701086,2014
A,MKD,CLAS1_6,_Z,DIGITAL,.0793499052524567,2014
A,MKD,CLAS1_7,_Z,DIGITAL,0,2014
A,MKD,CLAS1_8,_Z,DIGITAL,0,2014
A,MKD,CLAS1_9,_Z,DIGITAL,0,2014
A,MKD,STRI,_Z,DIGITAL,.101304292678833,2014
A,MLI,CLAS1_10,_Z,DIGITAL,0,2014
